Gemeenten,Totaal bekende CO2-uitstoot|2016
Aa en Hunze,
Aalburg,
Aalsmeer,
Aalten,134297
Achtkarspelen,159597
Alblasserdam,201343
Albrandswaard,117913
Alkmaar,579053
Almelo,571012
Almere,831527
Alphen aan den Rijn,491286
Alphen-Chaam,69192
Ameland,32505
Amersfoort,789897
Amstelveen,454901
Amsterdam,4687357
Apeldoorn,1192593
Appingedam,
Arnhem,966424
Assen,350107
Asten,247999
Baarle-Nassau,69044
Baarn,161223
Barendrecht,294829
Barneveld,486665
Bedum,
Beek,
Beemster,
Beesel,
Berg en Dal,206999
Bergeijk,
Bergen (L.),124179
Bergen (NH.),158851
Bergen op Zoom,1110483
Berkelland,311202
Bernheze,228416
Best,238359
Beuningen,
Beverwijk,225204
Binnenmaas,239037
Bladel,149865
Blaricum,66782
Bloemendaal,112725
Bodegraven-Reeuwijk,309612
Boekel,68543
Borger-Odoorn,153276
Borne,118194
Borsele,
Boxmeer,309914
Boxtel,
Breda,1115790
Brielle,177882
Bronckhorst,303115
Brummen,
Brunssum,
Bunnik,
Bunschoten,151702
Buren,151323
Capelle aan den IJssel,258568
Castricum,156403
Coevorden,347848
Cranendonck,
Cromstrijen,100778
Cuijk,
Culemborg,136068
Dalfsen,170874
Dantumadiel,80475
De Bilt,274647
De Fryske Marren,465475
De Marne,73064
De Ronde Venen,
De Wolden,
Delft,605305
Delfzijl,1655640
Den Haag,2083052
Den Helder,352424
Deurne,224070
Deventer,627276
Diemen,180985
Dinkelland,173669
Doesburg,55289
Doetinchem,376710
Dongen,
Dongeradeel,132042
Dordrecht,
Drechterland,107394
Drimmelen,212064
Dronten,291467
Druten,
Duiven,149633
Echt-Susteren,
Edam-Volendam,175575
Ede,755859
Eemnes,104493
Eemsmond,476101
Eersel,148490
Eijsden-Margraten,180970
Eindhoven,1453486
Elburg,135918
Emmen,748485
Enkhuizen,123015
Enschede,798502
Epe,248982
Ermelo,
Etten-Leur,436962
Ferwerderadiel,61702
Geertruidenberg,199665
Geldermalsen,321250
Geldrop-Mierlo,224814
Gemert-Bakel,187361
Gennep,151412
Giessenlanden,110193
Gilze en Rijen,195684
Goeree-Overflakkee,348578
Goes,263633
Goirle,96639
Gooise Meren,421576
Gorinchem,333548
Gouda,322185
Grave,56530
Groningen,1136536
Grootegast,73807
Gulpen-Wittem,84293
Haaksbergen,146098
Haaren,
Haarlem,638511
Haarlemmerliede c.a.,69360
Haarlemmermeer,1636317
Halderberge,
Hardenberg,417865
Harderwijk,281013
Hardinxveld-Giessendam,134110
Haren,111345
Harlingen,139832
Hattem,113909
Heemskerk,150379
Heemstede,
Heerde,
Heerenveen,410182
Heerhugowaard,314486
Heerlen,
Heeze-Leende,123038
Heiloo,103045
Hellendoorn,238992
Hellevoetsluis,142334
Helmond,556145
Hendrik-Ido-Ambacht,124353
Hengelo,758936
Heumen,109176
Heusden,344442
Hillegom,95903
Hilvarenbeek,93811
Hilversum,434858
Hof van Twente,246735
Hollands Kroon,806301
Hoogeveen,
Hoorn,288820
Horst aan de Maas,530439
Houten,236836
Huizen,167920
Hulst,235812
IJsselstein,
Kaag en Braassem,233226
Kampen,357266
Kapelle,167441
Katwijk,271428
Kerkrade,
Koggenland,203563
Kollumerland c.a.,59881
Korendijk,46177
Krimpen aan den IJssel,
Krimpenerwaard,274612
Laarbeek,207063
Landerd,122178
Landgraaf,
Landsmeer,44623
Langedijk,
Lansingerland,844696
Laren,98500
Leek,150394
Leerdam,243682
Leeuwarden,733525
Leiden,556864
Leiderdorp,123498
Leidschendam-Voorburg,343084
Lelystad,625859
Leudal,
Leusden,
Lingewaal,
Lingewaard,290453
Lisse,95913
Lochem,280323
Loon op Zand,122781
Lopik,100394
Loppersum,57540
Losser,137515
Maasdriel,
Maasgouw,189846
Maassluis,100853
Maastricht,915054
Marum,123203
Medemblik,431890
Meerssen,
Meierijstad,742789
Meppel,280322
Middelburg,276878
Midden-Delfland,625943
Midden-Drenthe,
Midden-Groningen,
Mill en Sint Hubert,67787
Moerdijk,1549893
Molenwaard,203725
Montferland,
Montfoort,
Mook en Middelaar,34693
Neder-Betuwe,279607
Nederweert,
Neerijnen,253094
Nieuwegein,392336
Nieuwkoop,178931
Nijkerk,282230
Nijmegen,947554
Nissewaard,357156
Noord-Beveland,64309
Noordenveld,160713
Noordoostpolder,
Noordwijk,144127
Noordwijkerhout,95836
Nuenen c.a.,
Nunspeet,
Nuth,105480
Oegstgeest,93561
Oirschot,204724
Oisterwijk,162446
Oldambt,366297
Oldebroek,162474
Oldenzaal,192728
Olst-Wijhe,115309
Ommen,287631
Onderbanken,32299
Oost Gelre,193568
Oosterhout,
Ooststellingwerf,160651
Oostzaan,62938
Opmeer,61644
Opsterland,208623
Oss,667484
Oud-Beijerland,109476
Oude IJsselstreek,234087
Ouder-Amstel,206333
Oudewater,46577
Overbetuwe,407446
Papendrecht,170119
Peel en Maas,554065
Pekela,97532
Pijnacker-Nootdorp,444745
Purmerend,221787
Putten,176164
Raalte,224693
Reimerswaal,628476
Renkum,368778
Renswoude,40253
Reusel-De Mierden,68823
Rheden,221531
Rhenen,
Ridderkerk,325996
Rijssen-Holten,268802
Rijswijk,267823
Roerdalen,127889
Roermond,740643
Roosendaal,519930
Rotterdam,12132819
Rozendaal,8240
Rucphen,147585
Schagen,
Scherpenzeel,58678
Schiedam,406896
Schiermonnikoog,11837
Schinnen,
Schouwen-Duiveland,291598
's-Hertogenbosch,954927
Simpelveld,
Sint Anthonis,80477
Sint-Michielsgestel,124698
Sittard-Geleen,
Sliedrecht,142916
Sluis,186434
Smallingerland,354614
Soest,229509
Someren,210656
Son en Breugel,
Stadskanaal,153424
Staphorst,178883
Stede Broec,91096
Steenbergen,390399
Steenwijkerland,263695
Stein,
Stichtse Vecht,514303
Strijen,75530
Súdwest-Fryslân,635410
Ten Boer,46021
Terneuzen,
Terschelling,45779
Texel,115672
Teylingen,195271
Tholen,202568
Tiel,336625
Tilburg,1282794
Tubbergen,126737
Twenterand,176048
Tynaarlo,199115
Tytsjerksteradiel,245142
Uden,294147
Uitgeest,85192
Uithoorn,257366
Urk,89191
Utrecht,1769771
Utrechtse Heuvelrug,360128
Vaals,
Valkenburg aan de Geul,104510
Valkenswaard,166648
Veendam,
Veenendaal,291905
Veere,128092
Veldhoven,309407
Velsen,2536126
Venlo,985728
Venray,
Vianen,249035
Vlaardingen,301778
Vlieland,10590
Vlissingen,578962
Voerendaal,
Voorschoten,79448
Voorst,193944
Vught,159994
Waadhoeke,404863
Waalre,92419
Waalwijk,372605
Waddinxveen,326421
Wageningen,187489
Wassenaar,167409
Waterland,94032
Weert,375754
Weesp,120020
Werkendam,256473
West Maas en Waal,130554
Westerveld,138841
Westervoort,40161
Westerwolde,
Westland,2632757
Weststellingwerf,175105
Westvoorne,176562
Wierden,168498
Wijchen,260707
Wijdemeren,111760
Wijk bij Duurstede,98231
Winsum,62120
Winterswijk,161928
Woensdrecht,
Woerden,473080
Wormerland,146719
Woudenberg,
Woudrichem,94486
Zaanstad,897594
Zaltbommel,
Zandvoort,71473
Zederik,149521
Zeewolde,209565
Zeist,357263
Zevenaar,
Zoetermeer,533580
Zoeterwoude,115755
Zuidhorn,
Zuidplas,529608
Zundert,
Zutphen,241143
Zwartewaterland,197806
Zwijndrecht,309940
Zwolle,777222
Gemeente onbekend,22320
